Year,Month,Region,Revenue,Expenses,Profit,Net Margin (%),Transactions
2022,Jan,North,31102,14813,16289,52.37,3479
2022,Jan,South,29646,11688,17958,60.57,3030
2022,Jan,East,48404,45320,3084,6.37,3180
2022,Jan,West,37269,18571,18698,50.17,2218
2022,Jan,Central,23675,15357,8318,35.13,2619
2022,Feb,North,47559,29276,18283,38.44,3875
2022,Feb,South,24569,10640,13929,56.69,3305
2022,Feb,East,47454,20765,26689,56.24,2746
2022,Feb,West,48665,12525,36140,74.26,3958
2022,Feb,Central,19337,14770,4567,23.62,3330
2022,Mar,North,35479,10245,25234,71.12,3390
2022,Mar,South,36847,31546,5301,14.39,4055
2022,Mar,East,30963,11535,19428,62.75,3839
2022,Mar,West,45589,30888,14701,32.25,4512
2022,Mar,Central,38240,32377,5863,15.33,1130
2022,Apr,North,38008,10812,27196,71.55,1353
2022,Apr,South,39597,34408,5189,13.1,914
2022,Apr,East,20249,12224,8025,39.63,4615
2022,Apr,West,40940,27011,13929,34.02,4640
2022,Apr,Central,15611,11235,4376,28.03,898
2022,May,North,30124,25910,4214,13.99,4632
2022,May,South,47460,20383,27077,57.05,2137
2022,May,East,13974,11773,2201,15.75,3853
2022,May,West,48325,24796,23529,48.69,1873
2022,May,Central,47023,39797,7226,15.37,3568
2022,Jun,North,41435,32953,8482,20.47,2821
2022,Jun,South,22693,15232,7461,32.88,1374
2022,Jun,East,24087,11999,12088,50.18,1580
2022,Jun,West,49754,18662,31092,62.49,4396
2022,Jun,Central,22935,21639,1296,5.65,4192
2022,Jul,North,13992,10953,3039,21.72,3079
2022,Jul,South,38181,27371,10810,28.31,3577
2022,Jul,East,11361,5739,5622,49.49,1652
2022,Jul,West,11810,7440,4370,37.0,2040
2022,Jul,Central,32843,24184,8659,26.36,2282
2022,Aug,North,10379,6899,3480,33.53,907
2022,Aug,South,12356,7505,4851,39.26,4368
2022,Aug,East,11978,10688,1290,10.77,4126
2022,Aug,West,10106,6953,3153,31.2,3504
2022,Aug,Central,38607,17702,20905,54.15,3507
2022,Sep,North,41526,31655,9871,23.77,4977
2022,Sep,South,25711,5322,20389,79.3,2322
2022,Sep,East,18924,7180,11744,62.06,966
2022,Sep,West,36878,15460,21418,58.08,3845
2022,Sep,Central,47026,5632,41394,88.02,4414
2022,Oct,North,47045,41770,5275,11.21,1539
2022,Oct,South,11331,9233,2098,18.52,4525
2022,Oct,East,33022,17504,15518,46.99,2783
2022,Oct,West,30106,15010,15096,50.14,1756
2022,Oct,Central,14132,5497,8635,61.1,3909
2022,Nov,North,20155,10558,9597,47.62,4001
2022,Nov,South,34446,16626,17820,51.73,4752
2022,Nov,East,47196,12802,34394,72.87,2256
2022,Nov,West,27824,21377,6447,23.17,4692
2022,Nov,Central,24114,5034,19080,79.12,2677
2022,Dec,North,23056,14969,8087,35.08,4663
2022,Dec,South,18294,15596,2698,14.75,2890
2022,Dec,East,42821,7191,35630,83.21,3333
2022,Dec,West,26711,6433,20278,75.92,4550
2022,Dec,Central,30233,19607,10626,35.15,2071
2023,Jan,North,15081,12474,2607,17.29,2870
2023,Jan,South,17569,13104,4465,25.41,3170
2023,Jan,East,30836,19808,11028,35.76,2262
2023,Jan,West,25560,10564,14996,58.67,3883
2023,Jan,Central,12046,5192,6854,56.9,2098
2023,Feb,North,28377,17780,10597,37.34,2990
2023,Feb,South,26746,8940,17806,66.57,2672
2023,Feb,East,13277,6667,6610,49.79,1587
2023,Feb,West,47538,12717,34821,73.25,2537
2023,Feb,Central,41589,17066,24523,58.97,2831
2023,Mar,North,45319,38288,7031,15.51,3058
2023,Mar,South,22097,10578,11519,52.13,2101
2023,Mar,East,25039,7837,17202,68.7,4774
2023,Mar,West,31483,5364,26119,82.96,2312
2023,Mar,Central,49961,40540,9421,18.86,4847
2023,Apr,North,39031,18484,20547,52.64,1133
2023,Apr,South,28872,24605,4267,14.78,4638
2023,Apr,East,12264,5220,7044,57.44,3224
2023,Apr,West,30585,22548,8037,26.28,2101
2023,Apr,Central,22699,9506,13193,58.12,2926
2023,May,North,43349,17758,25591,59.03,1399
2023,May,South,15214,6195,9019,59.28,1115
2023,May,East,47781,30251,17530,36.69,4100
2023,May,West,36815,17462,19353,52.57,1718
2023,May,Central,39837,15391,24446,61.37,3795
2023,Jun,North,22991,16045,6946,30.21,1595
2023,Jun,South,40203,16746,23457,58.35,3764
2023,Jun,East,19250,16937,2313,12.02,1534
2023,Jun,West,40073,6037,34036,84.93,846
2023,Jun,Central,38905,20253,18652,47.94,1773
2023,Jul,North,47098,36661,10437,22.16,3710
2023,Jul,South,22421,8104,14317,63.86,2066
2023,Jul,East,48649,29761,18888,38.83,4952
2023,Jul,West,41222,34810,6412,15.55,4299
2023,Jul,Central,15370,12542,2828,18.4,2113
2023,Aug,North,48532,8875,39657,81.71,3487
2023,Aug,South,10432,8649,1783,17.09,1118
2023,Aug,East,29706,22564,7142,24.04,1838
2023,Aug,West,11632,10530,1102,9.47,2916
2023,Aug,Central,31142,28096,3046,9.78,4962
2023,Sep,North,18287,5407,12880,70.43,3520
2023,Sep,South,22661,18675,3986,17.59,2606
2023,Sep,East,35722,15161,20561,57.56,1578
2023,Sep,West,46018,38535,7483,16.26,2009
2023,Sep,Central,49143,36846,12297,25.02,1401
2023,Oct,North,21217,15135,6082,28.67,1926
2023,Oct,South,34478,13218,21260,61.66,4383
2023,Oct,East,10978,7851,3127,28.48,2602
2023,Oct,West,40655,24972,15683,38.58,1978
2023,Oct,Central,24917,23709,1208,4.85,1980
2023,Nov,North,32122,13986,18136,56.46,1517
2023,Nov,South,49664,36691,12973,26.12,4748
2023,Nov,East,19761,8418,11343,57.4,3816
2023,Nov,West,13245,9397,3848,29.05,1391
2023,Nov,Central,43206,22964,20242,46.85,2459
2023,Dec,North,48291,31833,16458,34.08,1974
2023,Dec,South,47535,34559,12976,27.3,2662
2023,Dec,East,25338,22044,3294,13.0,2559
2023,Dec,West,30450,21633,8817,28.96,1156
2023,Dec,Central,47970,27572,20398,42.52,1888
2024,Jan,North,33804,28928,4876,14.42,896
2024,Jan,South,31441,10589,20852,66.32,3915
2024,Jan,East,42904,34741,8163,19.03,4079
2024,Jan,West,30510,27761,2749,9.01,1581
2024,Jan,Central,12238,9859,2379,19.44,4320
2024,Feb,North,22108,9585,12523,56.64,2578
